"uf","legenda","descricao","count","sum"
"RN","FM","Floresta Manejada",340,25963.158799999997
"RO","FM","Floresta Manejada",3217,8691333.292799985
"RR","FM","Floresta Manejada",57831,12484661.830200033
"RS","FM","Floresta Manejada",2384,401282.4821000001
"SC","FM","Floresta Manejada",740,306566.1449999999
"SE","FM","Floresta Manejada",86,9812.7382
"SP","FM","Floresta Manejada",12045,1845277.7672000062
"TO","FM","Floresta Manejada",4039,2096462.7907000005
"AC","FNM","Floresta Não Manejada",20276,7223827.378799998
"AL","FNM","Floresta Não Manejada",8446,455706.35189999995
"AM","FNM","Floresta Não Manejada",116962,60324300.047299884
"AP","FNM","Floresta Não Manejada",43437,2807662.642299997
"BA","FNM","Floresta Não Manejada",118335,22368703.30579988
"CE","FNM","Floresta Não Manejada",42385,7710724.350900016
"DF","FNM","Floresta Não Manejada",252,1266.0103999999997
"ES","FNM","Floresta Não Manejada",20542,1162305.0283000008
"GO","FNM","Floresta Não Manejada",71909,7583770.764499993
"MA","FNM","Floresta Não Manejada",63646,11453065.757400014
"MG","FNM","Floresta Não Manejada",168324,15347519.07310006
"MS","FNM","Floresta Não Manejada",42382,7135580.025699997
"MT","FNM","Floresta Não Manejada",96177,30952736.032799907
"PA","FNM","Floresta Não Manejada",258822,27197855.0653999
"PB","FNM","Floresta Não Manejada",16877,2348500.722200005
"PE","FNM","Floresta Não Manejada",22749,3335254.1489999997
"PI","FNM","Floresta Não Manejada",19350,15268174.04450003
"PR","FNM","Floresta Não Manejada",85616,4543139.133500041
"RJ","FNM","Floresta Não Manejada",17871,914095.8678000006
"RN","FNM","Floresta Não Manejada",16343,2278907.9217000026
"RO","FNM","Floresta Não Manejada",52188,5287189.870100003
"RR","FNM","Floresta Não Manejada",31328,5145736.3496999955
"RS","FNM","Floresta Não Manejada",90913,5357040.946000004
"SC","FNM","Floresta Não Manejada",34258,3608519.487900001
"SE","FNM","Floresta Não Manejada",6772,387598.13929999963
"SP","FNM","Floresta Não Manejada",67895,2891569.4587000003
"TO","FNM","Floresta Não Manejada",34259,9551218.160399972
"AC","FSec","Floresta secundária",136965,280596.35359999945
"AL","FSec","Floresta secundária",7934,128563.19339999976
"AM","FSec","Floresta secundária",268918,1107765.4370999904
"AP","FSec","Floresta secundária",17032,59601.81909999983
"BA","FSec","Floresta secundária",189394,3027689.123500018
"CE","FSec","Floresta secundária",84349,1710723.9403000053
"DF","FSec","Floresta secundária",258,4151.749100000001
"ES","FSec","Floresta secundária",1230,18494.285099999997
"GO","FSec","Floresta secundária",34503,655774.7774999989
"MA","FSec","Floresta secundária",175451,1826243.402499997
"MG","FSec","Floresta secundária",58162,1621701.8989000046
"MS","FSec","Floresta secundária",19029,373360.1218999992
"MT","FSec","Floresta secundária",369256,3360904.7783000115
"PA","FSec","Floresta secundária",647645,4385927.874600057
"PB","FSec","Floresta secundária",38803,718438.4943999975
"PE","FSec","Floresta secundária",45675,1012481.8626999968
"PI","FSec","Floresta secundária",96231,1506332.6158000126
"PR","FSec","Floresta secundária",12668,223950.89659999998
"RJ","FSec","Floresta secundária",2697,23257.31340000003
"RN","FSec","Floresta secundária",24376,674430.4409999988
"RO","FSec","Floresta secundária",224120,722931.7536999935
"RR","FSec","Floresta secundária",36617,170379.5618000001
"RS","FSec","Floresta secundária",15775,211871.55729999987
"SC","FSec","Floresta secundária",8200,107914.59459999981
"SE","FSec","Floresta secundária",6357,96667.82889999993
"SP","FSec","Floresta secundária",19462,346845.0672999987
"TO","FSec","Floresta secundária",63299,659153.9329999986
"AL","GM","Campo Manejado",5,0.0024000000000000002
"AM","GM","Campo Manejado",1804,255162.89100000012
"AP","GM","Campo Manejado",155,977.5658000000001
"BA","GM","Campo Manejado",385,37962.24540000001
"CE","GM","Campo Manejado",3,9.862400000000001
"DF","GM","Campo Manejado",41,286.5628
"GO","GM","Campo Manejado",235,52018.0436
"MA","GM","Campo Manejado",17,88987.88089999999
"MG","GM","Campo Manejado",1552,655884.5351999998
"MS","GM","Campo Manejado",268,48889.5737
"MT","GM","Campo Manejado",107,98678.36649999999
"PA","GM","Campo Manejado",120,248097.1287
"PR","GM","Campo Manejado",1686,86595.62529999999
"RJ","GM","Campo Manejado",1,0.0001
"RO","GM","Campo Manejado",20,16119.4375
"RR","GM","Campo Manejado",3538,1255134.7279000008
"RS","GM","Campo Manejado",401,74392.89890000001
"SC","GM","Campo Manejado",187,26651.625299999996
"SP","GM","Campo Manejado",382,12102.2076
"TO","GM","Campo Manejado",417,217277.77419999999
"AC","GNM","Campo Não Manejado",4,3209.5985
"AM","GNM","Campo Não Manejado",2883,565057.6033999997
"AP","GNM","Campo Não Manejado",1684,75332.44220000008
"BA","GNM","Campo Não Manejado",3586,293419.5796000002
"CE","GNM","Campo Não Manejado",678,12019.627099999983
"DF","GNM","Campo Não Manejado",3,2.2838000000000003
"GO","GNM","Campo Não Manejado",6569,130382.31099999973
"MA","GNM","Campo Não Manejado",281,137009.47149999999
"MG","GNM","Campo Não Manejado",21820,3057562.0880999984
